X,Y,Z,Value
0.0,0.0,0.0,12.115525
12.5,0.0,0.0,14.181381
25.0,0.0,0.0,15.424025
37.5,0.0,0.0,15.300414
50.0,0.0,0.0,13.862301
62.5,0.0,0.0,11.762774
75.0,0.0,0.0,9.981983
87.5,0.0,0.0,9.357115
100.0,0.0,0.0,10.158426
0.0,12.5,0.0,12.243477
12.5,12.5,0.0,14.108088
25.0,12.5,0.0,15.390733
37.5,12.5,0.0,15.565862
50.0,12.5,0.0,14.540769
62.5,12.5,0.0,12.762816
75.0,12.5,0.0,11.071722
87.5,12.5,0.0,10.276816
100.0,12.5,0.0,10.70588
0.0,25.0,0.0,12.410487
12.5,25.0,0.0,13.534567
25.0,25.0,0.0,14.612899
37.5,25.0,0.0,15.26159
50.0,25.0,0.0,15.160635
62.5,25.0,0.0,14.310531
75.0,25.0,0.0,13.132351
87.5,25.0,0.0,12.215716
100.0,25.0,0.0,11.917077
0.0,37.5,0.0,12.553606
12.5,37.5,0.0,12.678084
25.0,37.5,0.0,13.38539
37.5,37.5,0.0,14.503775
50.0,37.5,0.0,15.488867
62.5,37.5,0.0,15.821996
75.0,37.5,0.0,15.385709
87.5,37.5,0.0,14.441306
100.0,37.5,0.0,13.33435
0.0,50.0,0.0,12.597256
12.5,50.0,0.0,11.813862
25.0,50.0,0.0,12.084306
37.5,50.0,0.0,13.451473
50.0,50.0,0.0,15.253684
62.5,50.0,0.0,16.588873
75.0,50.0,0.0,16.878359
87.5,50.0,0.0,16.051945
100.0,50.0,0.0,14.393301
0.0,62.5,0.0,12.515442
12.5,62.5,0.0,11.247151
25.0,62.5,0.0,11.162639
37.5,62.5,0.0,12.446168
50.0,62.5,0.0,14.478692
62.5,62.5,0.0,16.260689
75.0,62.5,0.0,17.001081
87.5,62.5,0.0,16.412067
100.0,62.5,0.0,14.680934
0.0,75.0,0.0,12.355843
12.5,75.0,0.0,11.230119
25.0,75.0,0.0,11.037495
37.5,75.0,0.0,11.967374
50.0,75.0,0.0,13.572112
62.5,75.0,0.0,15.06832
75.0,75.0,0.0,15.786665
87.5,75.0,0.0,15.432489
100.0,75.0,0.0,14.11079
0.0,87.5,0.0,12.196515
12.5,87.5,0.0,11.809309
25.0,87.5,0.0,11.828803
37.5,87.5,0.0,12.301296
50.0,87.5,0.0,12.998582
62.5,87.5,0.0,13.575541
75.0,87.5,0.0,13.778019
87.5,87.5,0.0,13.533251
100.0,87.5,0.0,12.921999
0.0,100.0,0.0,12.086815
12.5,100.0,0.0,12.741111
25.0,100.0,0.0,13.192788
37.5,100.0,0.0,13.257079
50.0,100.0,0.0,12.900072
62.5,100.0,0.0,12.277343
75.0,100.0,0.0,11.683104
87.5,100.0,0.0,11.401885
100.0,100.0,0.0,11.549533
0.0,0.0,10.0,12.31403
12.5,0.0,10.0,14.63072
25.0,0.0,10.0,16.237673
37.5,0.0,10.0,16.478991
50.0,0.0,10.0,15.22795
62.5,0.0,10.0,13.028615
75.0,0.0,10.0,10.920578
87.5,0.0,10.0,9.913835
100.0,0.0,10.0,10.422579
0.0,12.5,10.0,12.66184
12.5,12.5,10.0,15.055102
25.0,12.5,10.0,17.105552
37.5,12.5,10.0,18.049796
50.0,12.5,10.0,17.418969
62.5,12.5,10.0,15.430663
75.0,12.5,10.0,13.049878
87.5,12.5,10.0,11.450143
100.0,12.5,10.0,11.2626
0.0,25.0,10.0,13.115821
12.5,25.0,10.0,15.131171
25.0,25.0,10.0,17.503976
37.5,25.0,10.0,19.449345
50.0,25.0,10.0,20.013098
62.5,25.0,10.0,18.808354
75.0,25.0,10.0,16.467397
87.5,25.0,10.0,14.193872
100.0,25.0,10.0,12.855672
0.0,37.5,10.0,13.504856
12.5,37.5,10.0,14.831352
25.0,37.5,10.0,17.284454
37.5,37.5,10.0,20.151609
50.0,37.5,10.0,22.033161
62.5,37.5,10.0,21.888003
75.0,37.5,10.0,19.883533
87.5,37.5,10.0,17.109154
100.0,37.5,10.0,14.600191
0.0,50.0,10.0,13.623509
12.5,50.0,10.0,14.136908
25.0,50.0,10.0,16.290798
37.5,50.0,10.0,19.544622
50.0,50.0,10.0,22.313976
62.5,50.0,10.0,23.133167
75.0,50.0,10.0,21.730822
87.5,50.0,10.0,18.930145
100.0,50.0,10.0,15.758949
0.0,62.5,10.0,13.401115
12.5,62.5,10.0,13.251978
25.0,62.5,10.0,14.792912
37.5,62.5,10.0,17.704656
50.0,62.5,10.0,20.57184
62.5,62.5,10.0,21.908523
75.0,62.5,10.0,21.188837
87.5,62.5,10.0,18.896001
100.0,62.5,10.0,15.859511
0.0,75.0,10.0,12.96728
12.5,75.0,10.0,12.61418
25.0,75.0,10.0,13.543706
37.5,75.0,10.0,15.597647
50.0,75.0,10.0,17.778605
62.5,75.0,10.0,18.967383
75.0,75.0,10.0,18.677743
87.5,75.0,10.0,17.147309
100.0,75.0,10.0,14.924437
0.0,87.5,10.0,12.534183
12.5,87.5,10.0,12.57366
25.0,87.5,10.0,13.212865
37.5,87.5,10.0,14.306123
50.0,87.5,10.0,15.321627
62.5,87.5,10.0,15.728809
75.0,87.5,10.0,15.374623
87.5,87.5,10.0,14.480264
100.0,87.5,10.0,13.371338
0.0,100.0,10.0,12.235986
12.5,100.0,10.0,13.078779
25.0,100.0,10.0,13.804226
37.5,100.0,10.0,14.142753
50.0,100.0,10.0,13.926326
62.5,100.0,10.0,13.228593
75.0,100.0,10.0,12.388438
87.5,100.0,10.0,11.820247
100.0,100.0,10.0,11.748037
0.0,0.0,20.0,12.5722
12.5,0.0,20.0,15.215118
25.0,0.0,20.0,17.295881
37.5,0.0,20.0,18.011816
50.0,0.0,20.0,17.004075
62.5,0.0,20.0,14.674932
75.0,0.0,20.0,12.14129
87.5,0.0,20.0,10.63789
100.0,0.0,20.0,10.766129
0.0,12.5,20.0,13.205951
12.5,12.5,20.0,16.286761
25.0,12.5,20.0,19.3358
37.5,12.5,20.0,21.280333
50.0,12.5,20.0,21.162277
62.5,12.5,20.0,18.900394
75.0,12.5,20.0,15.622613
87.5,12.5,20.0,12.976141
100.0,12.5,20.0,11.986656
